"sample_id","total_counts","medium","treatment","stirred","time","replicate","condition"
"repBC69_Pl3",47325.0100230418,"mBHI","CGA","Stirred","48","R3","mBHI_CGA_Stirred_48"
"repBC70_Pl1",42729.0000000002,"Schaedler","WaterControl","Static","48","R1","Schaedler_WaterControl_Static_48"
"repBC70_Pl2",16824.2377461133,"GAM","Quercetin","Stirred","48","R1","GAM_Quercetin_Stirred_48"
"repBC70_Pl3",38646.1678777419,"mBHI","DMSOControl","Stirred","48","R1","mBHI_DMSOControl_Stirred_48"
"repBC71_Pl1",65860.9931126928,"Schaedler","WaterControl","Static","48","R2","Schaedler_WaterControl_Static_48"
"repBC71_Pl2",28694.3480204059,"GAM","Quercetin","Stirred","48","R2","GAM_Quercetin_Stirred_48"
"repBC71_Pl3",35121.6338406696,"mBHI","DMSOControl","Stirred","48","R2","mBHI_DMSOControl_Stirred_48"
"repBC72_Pl1",54954.4353860705,"Schaedler","WaterControl","Static","48","R3","Schaedler_WaterControl_Static_48"
"repBC72_Pl2",54556.6802043769,"GAM","Quercetin","Stirred","48","R3","GAM_Quercetin_Stirred_48"
"repBC72_Pl3",38143.6065771717,"mBHI","DMSOControl","Stirred","48","R3","mBHI_DMSOControl_Stirred_48"
"repBC73_Pl1",34546.930074605,"Schaedler","FecesOnly","Static","48","R1","Schaedler_FecesOnly_Static_48"
"repBC73_Pl2",42194.6322836951,"GAM","CGA","Stirred","48","R1","GAM_CGA_Stirred_48"
"repBC73_Pl3",33015.9123952145,"mBHI","WaterControl","Stirred","48","R1","mBHI_WaterControl_Stirred_48"
"repBC74_Pl1",73819.8319149803,"Schaedler","FecesOnly","Static","48","R2","Schaedler_FecesOnly_Static_48"
"repBC74_Pl2",54692.7651235967,"GAM","CGA","Stirred","48","R2","GAM_CGA_Stirred_48"
"repBC74_Pl3",57722.1607568578,"mBHI","WaterControl","Stirred","48","R2","mBHI_WaterControl_Stirred_48"
"repBC75_Pl1",57346.090695299,"Schaedler","FecesOnly","Static","48","R3","Schaedler_FecesOnly_Static_48"
"repBC75_Pl2",37163.9575173992,"GAM","CGA","Stirred","48","R3","GAM_CGA_Stirred_48"
"repBC75_Pl3",45896.165865911,"mBHI","WaterControl","Stirred","48","R3","mBHI_WaterControl_Stirred_48"
"repBC76_Pl1",51593.9461842377,"Schaedler","Quercetin","Stirred","48","R1","Schaedler_Quercetin_Stirred_48"
"repBC76_Pl2",42573.0905678411,"GAM","DMSOControl","Stirred","48","R1","GAM_DMSOControl_Stirred_48"
